username,tweet
AtmosphereFull2017,Small but illustrative example of whats going on at the State Dept I know someone who a few years ago did an unpaid summer internship at an embassy overseas It was a country where the govt is very hostile to us but the common people love everything about the United States from movies to music to the NBA but mostly the people love the US despite their own govts propaganda because they see us as everything their own country is not One of this persons duties for the summer was to go up on the embassy roof every day and take air quality readings then enter the data into the embassy website It took him about  minutes each morning And apparently the webpage with the air quality data was the most visited page of the entire embassy website even more than the information on visas The reason was that nobody trusted their own govts information on pollution and air quality but they DID trust the US embassy Enter Marco Rubio as SecState the supposed adult in the Trump Romper Room One of his first acts was to order all embassies and consulates to cease posting air quality data on their websites And remember this is something that took  minutes of time for an unpaid intern So much for earning goodwill and making America first for the common people around the world
SadBuilding9234,Public perception in Korea casts China as the major culprit in this issue of air quality even though data from the joint research of National Institute of Environmental Research NIER and NASA indicate that  percent of the fine dust at Olympic Park in Seoul comes from South Korean domestic factories while only  percent comes from western China China produces air pollution but it tends to receive more blame than it deserves among the Korean public httpswwwscientificamericancomarticlewhatairpollutioninsouthkoreacanteachtheworldaboutmisinformation
three-one-seven,Its all about messaging If Gav responded to TrumpMusks RTO by strongly and clearly stating that California state workers are working hard efficiently doing the peoples work and keeping unnecessary traffic off the roads and pollution out of the air by working remotely as much as possible in accordance with California law and then repeated that over and over again whenever all the DOGE bullshit was discussed he would be seen as a hero of workers rights and would set California apart from the feds as an example of antiMAGA normalcy Instead the servile twerp bent the knee followed suit and started slobbing white supremacist knobs on his podcast Or maybe agency heads should step up and say they arent going to put their staff through unnecessary hardship when theyre doing just fine WFH and the data supports that Oh wait what data You mean the data the state scrubbed from the internet right before twoday RTO last year Our leaders have failed us because they either agree with TrumpMuskDOGE or they lack the spine to stand up against bad policy Or theyre on a power trip and revel in the misery they cause Pick your poison
quantumparakeet,Good callout on the air quality I monitor my region closely and contribute sensor data to the Purple Air network Anywhere with a lot of cars moving becomes a pollution pool from each days traffic emissions Highways are also commonly in flatlower areas and closer to commercial and industrial local pollutors The overall effect is that over time you will be exposed to higher concentrations of pollutants and for longer durations This can cause asthma and other diseases in developing children as well as adults Cancer risk also increases
wwisd,Highlights for people who dont read articles Roadside nitrogen dioxide NO levels a toxic gas that exacerbates asthma impedes lung development and raises the risk of lung cancer have decreased by  across London since ULEZ was introduced in  It decreased  in the year since the London wide ULEZ expansion Smallparticle emissions PM from vehicle exhausts were  lower in outer London in  than they would have been had ULEZ not been expanded in  Air quality has improved at  of monitoring sites across London since  The most deprived areas are seeing the greatest benefit for some of the most deprived communities living near Londons busiest roads theres been an estimated  reduction in people exposed to illegal levels of pollution Vehicle compliance is now at  And as this comes up every time theres an article that again shows that ULEZ works the full report shows that while general developments cars continue to get less polluting mean air pollution is going down the ULEZ introduction and expansions have helped it come down faster in London And yes they can measure this Theres lots of air pollution measuring stations all around the country collecting data on different sorts of pollutants Theyve been going down around the country though still too high in many places But in London weve seen the trend go down faster starting when ULEZ came in and LEZ before that Obviously the full analysis is a lot more detailed than the two sentences Iv written here but thats the general idea
goodvibesmostly98,Plant proteins help society by not having the same environmental and human health risks as factory farmed animal proteins  of livestock worldwide live on factory farms  in the US A major risk with factory farming right now is that it puts farmworkers at a disproportionate risk of catching bird flu with concerns it could lead to a human pandemic Antibiotic resistance is another big problem with animal agriculture Overuse and misuse of antibiotics in animals and humans is contributing to the rising threat of antibiotic resistance Some types of bacteria that cause serious infections in humans have already developed resistance to most or all of the available treatments and there are very few promising options in the research pipeline A lack of effective antibiotics is as serious a security threat as a sudden and deadly disease outbreak says Dr Tedros Adhanom Ghebreyesus DirectorGeneral of WHO Strong sustained action across all sectors is vital if we are to turn back the tide of antimicrobial resistance and keep the world safe Factory farming also causes a lot of environmental issues Cattle and sheep farming is a major source of greenhouse gas emissions It also causes significant air and water pollution Based on available data generally accepted livestock waste management practices do not adequately or effectively protect water resources from contamination with excessive nutrients microbial pathogens and pharmaceuticals present in the waste Impacts on surface water sources and wildlife have been documented in many agricultural areas in the United States Potential impacts on human and environmental health from longterm inadvertent exposure to water contaminated with pharmaceuticals and other compounds are a growing public concern If the world adopted a plantbased diet we would reduce global agricultural land use from  to  billion hectares Your guide to climate action Food
kootles10,The article International Recycling Group cancelled plans for a  million project to recycle plastic that would then have been burned in the blast furnaces of a Northwest Indiana steel mill The company previously announced it had secured an agreement with a steel mill to buy its CleanRed product and that it would be the first US company to produce and sell a plastic waste product domestic steelmakers could use to reduce the amount of carbonemitting coke they burned in their blast furnaces The company projected its product would cut greenhouse gas emissions by  tons or  a year while also using  less energy It expected that the Erie Pennsylvania plant would create  new operations jobs in western Pennsylvania and Northwest Indiana Northwest Indiana environmentalists had planned to mount a campaign against the project which they feared would have worsened air pollution in the Calumet Region Dorreen Carey with Gary Advocates for Responsible Development said burning plastic waste in blast furnaces would have resulted in more toxic emissions in already polluted air threatening public health Last year the US Department of Energy pledged a  million conditional loan guarantee for the project as part of broader efforts to reduce the carbon emissions scientists say cause climate change International Recycling Group called off the project last week after the US Department of Energys Loan Programs Office put an indefinite hold on funding which threw off its plans to raise  million in capital It also blamed tariffs for driving up the projects costs and difficulties in getting longterm purchase agreements from plastic and consumer product manufacturers that have been cutting back on sustainability pledges as of late The project aimed to recycle about  tons of plastic into  tons of recycled plastic including  tons of CleanRed to lower the carbon emissions of steel mills Steel mills in Europe and Asia have used the technology for decades to reduce the amount of coal they burn in blast furnaces to make the iron that becomes the steel used in cars appliances and many other end products More than  environmental groups have spoken out against the project which Beyond Plastics Appalachia Director Jess Conrad described as a polluting project masquerading as a quick fix to the plastic waste crisis Local environmental groups criticized the project as a green initiative that wasnt actually all that green when subjected to scrutiny Trucking plastics across the country to burn in blast furnaces under the guise of recycling was and will always be a complete false solution and greenwashing attempt No existing EPA data for toxic emissions standards from this dubious and unscientific process exists said Susan Thomas director of policy and press at Just Transition Northwest Indiana This project would have exacerbated toxic emissions in Northwest Indiana harming regional health and the environment and furthering the sacrifice zone status This is a stigma that industrial communities here are working mightily to counter
softrocklobster,Also for anyone curious here is the link to the original page which includes more pictures of the newly built SCC and also a diagram of the stations aerodynamic ventilation system which obviously doesnt actually work or at least not well enough
goodvibesmostly98,No opinions its just a job I dont think that you bear any more responsibility than people buying the meat theyre just more removed from it I just disagree with the practices of major companies who are the ones choosing to confine animals to gestation crates and battery cages But I am definitely concerned with the working conditions on factory farms and slaughterhouses The pay is bad despite the stressful and dangerous nature of the work From Human Rights Watch Meatpacking plant workers have some of the highest rates of occupational injury and illness in the United States They labor in environments full of potentially lifethreatening dangers Moving machine parts can cause traumatic injuries by crushing amputating burning and slicing The tools of the tradeknives hooks scissors and saws among otherscan cut stab and infect The cumulative trauma of repeating the same forceful motions tens of thousands of times each day can cause severe and disabling injuries These OSHA data show that a worker in the meat and poultry industry lost a body part or was sent to the hospital for inpatient treatment about every other day between  and  The Psychological Impact of Slaughterhouse Employment A Systematic Literature Review Health Effects of Airborne Exposures from Concentrated Animal Feeding Operations Right now a major risk with factory farming even for dairy and eggs is that it puts farmworkers at a disproportionate risk of catching bird flu with concerns it could lead to a human pandemic Theres also significant environmental concerns with these corporate megafarms greenhouse gas emissions as well as air and water pollution
AtmosphereFull2017,Small but illustrative example of whats going on at the State Dept I know someone who a few years ago did an unpaid summer internship at an embassy overseas It was a country where the govt is very hostile to us but the common people love everything about the United States from movies to music to the NBA but mostly the people love the US despite their own govts propaganda because they see us as everything their own country is not One of this persons duties for the summer was to go up on the embassy roof every day and take air quality readings then enter the data into the embassy website It took him about  minutes each morning And apparently the webpage with the air quality data was the most visited page of the entire embassy website even more than the information on visas The reason was that nobody trusted their own govts information on pollution and air quality but they DID trust the US embassy Enter Marco Rubio as SecState the supposed adult in the Trump Romper Room One of his first acts was to order all embassies and consulates to cease posting air quality data on their websites And remember this is something that took  minutes of time for an unpaid intern So much for earning goodwill and making America first for the common people around the world
